a,b,p_calib
-126,-62,2.0258103211301709e-09
-126,-61,2.1680955654820974e-10
-126,-60,4.5018007107378992e-10
-126,-59,3.2151655746501332e-09
-126,-57,1.9398134122725144e-09
-126,-56,1.0879351705603454e-09
-126,-55,2.6629649117087469e-09
-126,-54,2.8136254448602452e-09
-126,-53,3.1564595400931882e-09
-126,-52,4.9891798055540797e-09
-126,-50,3.9352198236254503e-09
-126,-49,2.4384754004350608e-09
-126,-48,1.1417788145400596e-08
-126,-47,5.3096219119698474e-11
-126,-46,8.2402328188865991e-09
-126,-45,1.0129051605650855e-09
-126,-44,2.5028228753187651e-09
-126,-43,2.5087330601753857e-09
-126,-42,6.4338237008855142e-09
-126,-41,3.9263705309654116e-09
-126,-40,4.3517405707863737e-09
-126,-39,1.1992492073070416e-08
-126,-38,1.0994709589892234e-09
-126,-37,1.5144811504333667e-08
-126,-36,4.3223007195525517e-09
-126,-35,3.6521190704646189e-09
-126,-34,4.7174251642872091e-09
-126,-33,1.4732430498736952e-08
-126,-32,1.5691227971055731e-08
-126,-31,1.4548758517480154e-08
-126,-30,1.0090272512686835e-08
-126,-29,1.9329598645405843e-08
-126,-28,6.5328099856268868e-09
-126,-27,1.9951946330482985e-08
-126,-26,7.0497238411890937e-09
-126,-25,1.3215126710639057e-08
-126,-24,1.3677095995289578e-08
-126,-23,2.1727620428918991e-08
-126,-22,2.311921517911623e-08
-126,-21,3.1445539435737436e-08
-126,-20,3.9689912892436856e-08
-126,-19,2.7435542832577471e-08
-126,-18,2.184372053381506e-08
-126,-17,4.2580179942528172e-08
-126,-16,5.4600040432729253e-08
-126,-15,4.4450256301908833e-08
-126,-14,8.3218411057824034e-08
-126,-13,7.4629579005246597e-08
-126,-12,1.0692876670501881e-07
-126,-11,1.1180130783675678e-07
-126,-10,1.652218551371889e-07
-126,-9,1.4118367781098494e-07
-126,-8,1.6759267903680145e-07
-126,-7,2.1455148071181726e-07
-126,-6,2.3137449872505086e-07
-126,-5,2.8471291546098741e-07
-126,-4,3.6995087407392681e-07
-126,-3,4.0269463734051222e-07
-126,-2,4.5745906646181625e-07
-126,-1,4.891114858360437e-07
-126,0,5.3277714504458019e-07
-126,1,4.9645488248022189e-07
-126,2,4.9504918310203351e-07
-126,3,3.656489342877302e-07
-126,4,3.2643933158899994e-07
-126,5,3.1063709561377662e-07
-126,6,2.9253002100977085e-07
-126,7,2.0328074950781795e-07
-126,8,1.9386380299484453e-07
-126,9,1.9136110236827628e-07
-126,10,1.491052700813354e-07
-126,11,1.0639430995687582e-07
-126,12,8.5135864984454923e-08
-126,13,8.7122532530337997e-08
-126,14,7.5043618827362603e-08
-126,15,5.8525511224009077e-08
-126,16,6.7424105450803633e-08
-126,17,6.6889430213919358e-08
-126,18,7.2012091271764694e-08
-126,19,3.7197992798879148e-08
-126,20,4.4814471532565409e-08
-126,21,4.1126007157517985e-08
-126,22,3.8631259229312065e-08
-126,23,3.3583641841936409e-08
-126,24,2.5290471067474669e-08
-126,25,2.4574493922649134e-08
-126,26,2.2819916458448686e-08
-126,27,2.9384821525741512e-08
-126,28,2.746024120827658e-08
-126,29,2.1424182442481415e-08
-126,30,4.0040030692687917e-08
-126,31,1.9150320365014342e-08
-126,32,1.5452295274941663e-08
-126,33,1.6105473786996869e-08
-126,34,3.1245623439145459e-08
-126,35,1.826275994014661e-08
-126,36,8.8344361389120483e-09
-126,37,8.7005898550178649e-09
-126,38,9.6973130293602742e-09
-126,39,1.3675452510366104e-08
-126,40,4.5248722355807726e-09
-126,41,1.6435997420568142e-08
-126,42,1.1395965175358029e-08
-126,43,1.0109946503120498e-08
-126,44,1.2429713887800184e-08
-126,45,4.6143457291554053e-09
-126,46,8.4642796165189907e-09
-126,47,6.1426319229556162e-09
-126,48,1.8487123482546237e-09
-126,49,1.7341556379244955e-08
-126,50,1.2330838047032812e-08
-126,51,6.0774309633905136e-09
-126,52,2.3634453737864552e-09
-126,53,6.0774309633905136e-09
-126,54,2.8428600451601864e-09
-126,55,9.4448686707990395e-09
-126,56,8.6815636274538146e-09
-126,57,1.4630852316388754e-09
-126,58,1.212015977406729e-09
-126,59,2.1666195314685614e-08
-126,60,1.0157811955510918e-10
-126,61,6.4709910537835805e-09
-126,62,5.9086136031631191e-09
-126,63,1.1160714580387073e-08
-126,64,7.8570076471353499e-09
-126,65,3.5467009347322465e-10
-126,66,1.2696949110451213e-09
-126,67,1.9807433748427998e-08
-126,68,1.9911081684164356e-10
-126,69,2.7948680112094877e-09
-126,70,2.6260504886119764e-09
-126,71,3.3760345650269147e-09
-126,72,7.4279711766118829e-09
-126,73,8.4199698222532121e-09
-126,74,2.6260504886119764e-09
-126,75,1.4238636278507053e-09
-126,76,1.2743091811571518e-09
-126,77,1.6881752259751125e-10
-126,78,6.3587936742369086e-09
-126,82,1.0129051605650855e-09
-126,87,4.5018007107378992e-10
-126,92,2.6260504886119764e-09
-126,96,7.5030009995259949e-11
-126,97,1.2743091811571518e-09
-126,98,7.5030009995259949e-11
-126,99,1.0004212575421489e-08
-126,102,2.1680955654820974e-10
-126,105,1.6881752259751125e-10
-126,111,4.5018007107378992e-10
-126,112,7.5030009995259949e-11
-126,127,6.1945584115755821e-12
-125,-127,2.8229488763383366e-10
-125,-125,6.6698962762199966e-10
-125,-118,4.42468492664154e-12
-125,-112,5.3096219119698474e-11
-125,-111,7.5030009995259949e-11
-125,-110,7.5030009995259949e-11
-125,-109,1.8997067928119589e-09
-125,-107,1.0129051605650855e-09
-125,-99,4.5018007107378992e-10
-125,-98,4.42468492664154e-12
-125,-97,1.0879351705603454e-09
-125,-95,3.5618712445157961e-09
-125,-93,1.6881752259751125e-10
-125,-84,7.5030009995259949e-11
-125,-83,4.8734742397185625e-10
-125,-81,6.1945584115755821e-12
-125,-80,2.4384753259277121e-10
-125,-79,1.0157811955510918e-10
-125,-78,6.92151856388806e-09
-125,-77,4.5018007107378992e-10
-125,-76,8.4555723362310228e-09
-125,-73,2.7809144561872045e-09
-125,-71,4.5018007107378992e-10
